code,level,name,shortName,presentationName,validFrom,validTo
0432,1,Rendalen,,,2013-01-01,2014-01-01
0434,1,Engerdal,,,2013-01-01,2014-01-01
0436,1,Tolga,,,2013-01-01,2014-01-01
0437,1,Tynset,,,2013-01-01,2014-01-01
0438,1,Alvdal,,,2013-01-01,2014-01-01
0439,1,Folldal,,,2013-01-01,2014-01-01
0441,1,Os,,,2013-01-01,2014-01-01
0501,1,Lillehammer,,,2013-01-01,2014-01-01
0502,1,Gjøvik,,,2013-01-01,2014-01-01
0511,1,Dovre,,,2013-01-01,2014-01-01
0512,1,Lesja,,,2013-01-01,2014-01-01
0513,1,Skjåk,,,2013-01-01,2014-01-01
0514,1,Lom,,,2013-01-01,2014-01-01
0515,1,Vågå,,,2013-01-01,2014-01-01
0516,1,Nord-Fron,,,2013-01-01,2014-01-01
0517,1,Sel,,,2013-01-01,2014-01-01
0519,1,Sør-Fron,,,2013-01-01,2014-01-01
0520,1,Ringebu,,,2013-01-01,2014-01-01
0521,1,Øyer,,,2013-01-01,2014-01-01
0522,1,Gausdal,,,2013-01-01,2014-01-01
0528,1,"Østre Toten",,,2013-01-01,2014-01-01
0529,1,"Vestre Toten",,,2013-01-01,2014-01-01
0532,1,Jevnaker,,,2013-01-01,2014-01-01
0533,1,Lunner,,,2013-01-01,2014-01-01
0534,1,Gran,,,2013-01-01,2014-01-01
0536,1,"Søndre Land",,,2013-01-01,2014-01-01
0538,1,"Nordre Land",,,2013-01-01,2014-01-01
0540,1,Sør-Aurdal,,,2013-01-01,2014-01-01
0541,1,Etnedal,,,2013-01-01,2014-01-01
0542,1,Nord-Aurdal,,,2013-01-01,2014-01-01
0543,1,"Vestre Slidre",,,2013-01-01,2014-01-01
0544,1,"Øystre Slidre",,,2013-01-01,2014-01-01
0545,1,Vang,,,2013-01-01,2014-01-01
0602,1,Drammen,,,2013-01-01,2014-01-01
0604,1,Kongsberg,,,2013-01-01,2014-01-01
0605,1,Ringerike,,,2013-01-01,2014-01-01
0612,1,Hole,,,2013-01-01,2014-01-01
0615,1,Flå,,,2013-01-01,2014-01-01
0616,1,Nes,,,2013-01-01,2014-01-01
0617,1,Gol,,,2013-01-01,2014-01-01
0618,1,Hemsedal,,,2013-01-01,2014-01-01
0619,1,Ål,,,2013-01-01,2014-01-01
0620,1,Hol,,,2013-01-01,2014-01-01
0621,1,Sigdal,,,2013-01-01,2014-01-01
0622,1,Krødsherad,,,2013-01-01,2014-01-01
0623,1,Modum,,,2013-01-01,2014-01-01
0624,1,"Øvre Eiker",,,2013-01-01,2014-01-01
0625,1,"Nedre Eiker",,,2013-01-01,2014-01-01
0626,1,Lier,,,2013-01-01,2014-01-01
0627,1,Røyken,,,2013-01-01,2014-01-01
0628,1,Hurum,,,2013-01-01,2014-01-01
0631,1,Flesberg,,,2013-01-01,2014-01-01
0632,1,Rollag,,,2013-01-01,2014-01-01
0633,1,"Nore og Uvdal",,,2013-01-01,2014-01-01
0701,1,Horten,,,2013-01-01,2014-01-01
0702,1,Holmestrand,,,2013-01-01,2014-01-01
0704,1,Tønsberg,,,2013-01-01,2014-01-01
0706,1,Sandefjord,,,2013-01-01,2014-01-01
0709,1,Larvik,,,2013-01-01,2014-01-01
0711,1,Svelvik,,,2013-01-01,2014-01-01
0713,1,Sande,,,2013-01-01,2014-01-01
0714,1,Hof,,,2013-01-01,2014-01-01
0716,1,Re,,,2013-01-01,2014-01-01
0719,1,Andebu,,,2013-01-01,2014-01-01
0720,1,Stokke,,,2013-01-01,2014-01-01
0722,1,Nøtterøy,,,2013-01-01,2014-01-01
0723,1,Tjøme,,,2013-01-01,2014-01-01
0728,1,Lardal,,,2013-01-01,2014-01-01
0805,1,Porsgrunn,,,2013-01-01,2014-01-01
0806,1,Skien,,,2013-01-01,2014-01-01
0807,1,Notodden,,,2013-01-01,2014-01-01
0811,1,Siljan,,,2013-01-01,2014-01-01
0814,1,Bamble,,,2013-01-01,2014-01-01
0815,1,Kragerø,,,2013-01-01,2014-01-01
0817,1,Drangedal,,,2013-01-01,2014-01-01
0819,1,Nome,,,2013-01-01,2014-01-01
0821,1,Bø,,,2013-01-01,2014-01-01
0822,1,Sauherad,,,2013-01-01,2014-01-01
0826,1,Tinn,,,2013-01-01,2014-01-01
0827,1,Hjartdal,,,2013-01-01,2014-01-01
0828,1,Seljord,,,2013-01-01,2014-01-01
0829,1,Kviteseid,,,2013-01-01,2014-01-01
0830,1,Nissedal,,,2013-01-01,2014-01-01
0831,1,Fyresdal,,,2013-01-01,2014-01-01
0833,1,Tokke,,,2013-01-01,2014-01-01
0834,1,Vinje,,,2013-01-01,2014-01-01
0901,1,Risør,,,2013-01-01,2014-01-01
0904,1,Grimstad,,,2013-01-01,2014-01-01
0906,1,Arendal,,,2013-01-01,2014-01-01
0911,1,Gjerstad,,,2013-01-01,2014-01-01
0912,1,Vegårshei,,,2013-01-01,2014-01-01
0914,1,Tvedestrand,,,2013-01-01,2014-01-01
0919,1,Froland,,,2013-01-01,2014-01-01
0926,1,Lillesand,,,2013-01-01,2014-01-01
0928,1,Birkenes,,,2013-01-01,2014-01-01
0929,1,Åmli,,,2013-01-01,2014-01-01
0935,1,Iveland,,,2013-01-01,2014-01-01
0937,1,"Evje og Hornnes",,,2013-01-01,2014-01-01
0938,1,Bygland,,,2013-01-01,2014-01-01
0940,1,Valle,,,2013-01-01,2014-01-01
0941,1,Bykle,,,2013-01-01,2014-01-01
1001,1,Kristiansand,,,2013-01-01,2014-01-01
1002,1,Mandal,,,2013-01-01,2014-01-01
1003,1,Farsund,,,2013-01-01,2014-01-01
1004,1,Flekkefjord,,,2013-01-01,2014-01-01
1014,1,Vennesla,,,2013-01-01,2014-01-01
1017,1,Songdalen,,,2013-01-01,2014-01-01
1018,1,Søgne,,,2013-01-01,2014-01-01
1021,1,Marnardal,,,2013-01-01,2014-01-01
1026,1,Åseral,,,2013-01-01,2014-01-01
1027,1,Audnedal,,,2013-01-01,2014-01-01
1029,1,Lindesnes,,,2013-01-01,2014-01-01
1032,1,Lyngdal,,,2013-01-01,2014-01-01
1034,1,Hægebostad,,,2013-01-01,2014-01-01
1037,1,Kvinesdal,,,2013-01-01,2014-01-01
1046,1,Sirdal,,,2013-01-01,2014-01-01
1101,1,Eigersund,,,2013-01-01,2014-01-01
1102,1,Sandnes,,,2013-01-01,2014-01-01
1103,1,Stavanger,,,2013-01-01,2014-01-01
1106,1,Haugesund,,,2013-01-01,2014-01-01
1111,1,Sokndal,,,2013-01-01,2014-01-01
1112,1,Lund,,,2013-01-01,2014-01-01
1114,1,Bjerkreim,,,2013-01-01,2014-01-01
1119,1,Hå,,,2013-01-01,2014-01-01
1120,1,Klepp,,,2013-01-01,2014-01-01
1121,1,Time,,,2013-01-01,2014-01-01
1122,1,Gjesdal,,,2013-01-01,2014-01-01
1124,1,Sola,,,2013-01-01,2014-01-01
1127,1,Randaberg,,,2013-01-01,2014-01-01
1129,1,Forsand,,,2013-01-01,2014-01-01
1130,1,Strand,,,2013-01-01,2014-01-01
1133,1,Hjelmeland,,,2013-01-01,2014-01-01
1134,1,Suldal,,,2013-01-01,2014-01-01
1135,1,Sauda,,,2013-01-01,2014-01-01
1141,1,Finnøy,,,2013-01-01,2014-01-01
1142,1,Rennesøy,,,2013-01-01,2014-01-01
1144,1,Kvitsøy,,,2013-01-01,2014-01-01
1145,1,Bokn,,,2013-01-01,2014-01-01
1146,1,Tysvær,,,2013-01-01,2014-01-01
1149,1,Karmøy,,,2013-01-01,2014-01-01
1151,1,Utsira,,,2013-01-01,2014-01-01
1160,1,Vindafjord,,,2013-01-01,2014-01-01
1201,1,Bergen,,,2013-01-01,2014-01-01
1211,1,Etne,,,2013-01-01,2014-01-01
1216,1,Sveio,,,2013-01-01,2014-01-01
1219,1,Bømlo,,,2013-01-01,2014-01-01
1221,1,Stord,,,2013-01-01,2014-01-01
1222,1,Fitjar,,,2013-01-01,2014-01-01
1223,1,Tysnes,,,2013-01-01,2014-01-01
1224,1,Kvinnherad,,,2013-01-01,2014-01-01
1227,1,Jondal,,,2013-01-01,2014-01-01
1228,1,Odda,,,2013-01-01,2014-01-01
1231,1,Ullensvang,,,2013-01-01,2014-01-01
1232,1,Eidfjord,,,2013-01-01,2014-01-01
1233,1,Ulvik,,,2013-01-01,2014-01-01
1234,1,Granvin,,,2013-01-01,2014-01-01
1235,1,Voss,,,2013-01-01,2014-01-01
1238,1,Kvam,,,2013-01-01,2014-01-01
1241,1,Fusa,,,2013-01-01,2014-01-01
1242,1,Samnanger,,,2013-01-01,2014-01-01
1243,1,Os,,,2013-01-01,2014-01-01
1244,1,Austevoll,,,2013-01-01,2014-01-01
1245,1,Sund,,,2013-01-01,2014-01-01
1246,1,Fjell,,,2013-01-01,2014-01-01
1247,1,Askøy,,,2013-01-01,2014-01-01
1251,1,Vaksdal,,,2013-01-01,2014-01-01
1252,1,Modalen,,,2013-01-01,2014-01-01
1253,1,Osterøy,,,2013-01-01,2014-01-01
1256,1,Meland,,,2013-01-01,2014-01-01
1259,1,Øygarden,,,2013-01-01,2014-01-01
1260,1,Radøy,,,2013-01-01,2014-01-01
1263,1,Lindås,,,2013-01-01,2014-01-01
1264,1,Austrheim,,,2013-01-01,2014-01-01
1265,1,Fedje,,,2013-01-01,2014-01-01
1266,1,Masfjorden,,,2013-01-01,2014-01-01
1401,1,Flora,,,2013-01-01,2014-01-01
1411,1,Gulen,,,2013-01-01,2014-01-01
1412,1,Solund,,,2013-01-01,2014-01-01
1413,1,Hyllestad,,,2013-01-01,2014-01-01
1416,1,Høyanger,,,2013-01-01,2014-01-01
1417,1,Vik,,,2013-01-01,2014-01-01
1418,1,Balestrand,,,2013-01-01,2014-01-01
1419,1,Leikanger,,,2013-01-01,2014-01-01
1420,1,Sogndal,,,2013-01-01,2014-01-01
1421,1,Aurland,,,2013-01-01,2014-01-01
1422,1,Lærdal,,,2013-01-01,2014-01-01
1424,1,Årdal,,,2013-01-01,2014-01-01
1426,1,Luster,,,2013-01-01,2014-01-01
1428,1,Askvoll,,,2013-01-01,2014-01-01
1429,1,Fjaler,,,2013-01-01,2014-01-01
1430,1,Gaular,,,2013-01-01,2014-01-01
1431,1,Jølster,,,2013-01-01,2014-01-01
1432,1,Førde,,,2013-01-01,2014-01-01
1433,1,Naustdal,,,2013-01-01,2014-01-01
1438,1,Bremanger,,,2013-01-01,2014-01-01
1439,1,Vågsøy,,,2013-01-01,2014-01-01
1441,1,Selje,,,2013-01-01,2014-01-01
1443,1,Eid,,,2013-01-01,2014-01-01
1444,1,Hornindal,,,2013-01-01,2014-01-01
1445,1,Gloppen,,,2013-01-01,2014-01-01
1449,1,Stryn,,,2013-01-01,2014-01-01
1502,1,Molde,,,2013-01-01,2014-01-01
1504,1,Ålesund,,,2013-01-01,2014-01-01
1505,1,Kristiansund,,,2013-01-01,2014-01-01
1511,1,Vanylven,,,2013-01-01,2014-01-01
1514,1,Sande,,,2013-01-01,2014-01-01
1515,1,Herøy,,,2013-01-01,2014-01-01
1516,1,Ulstein,,,2013-01-01,2014-01-01
1517,1,Hareid,,,2013-01-01,2014-01-01
1519,1,Volda,,,2013-01-01,2014-01-01
1520,1,Ørsta,,,2013-01-01,2014-01-01
1523,1,Ørskog,,,2013-01-01,2014-01-01
1524,1,Norddal,,,2013-01-01,2014-01-01
1525,1,Stranda,,,2013-01-01,2014-01-01
1526,1,Stordal,,,2013-01-01,2014-01-01
1528,1,Sykkylven,,,2013-01-01,2014-01-01
1529,1,Skodje,,,2013-01-01,2014-01-01
1531,1,Sula,,,2013-01-01,2014-01-01
1532,1,Giske,,,2013-01-01,2014-01-01
1534,1,Haram,,,2013-01-01,2014-01-01
1535,1,Vestnes,,,2013-01-01,2014-01-01
1539,1,Rauma,,,2013-01-01,2014-01-01
1543,1,Nesset,,,2013-01-01,2014-01-01
1545,1,Midsund,,,2013-01-01,2014-01-01
1546,1,Sandøy,,,2013-01-01,2014-01-01
1547,1,Aukra,,,2013-01-01,2014-01-01
1548,1,Fræna,,,2013-01-01,2014-01-01
1551,1,Eide,,,2013-01-01,2014-01-01
1554,1,Averøy,,,2013-01-01,2014-01-01
1557,1,Gjemnes,,,2013-01-01,2014-01-01
1560,1,Tingvoll,,,2013-01-01,2014-01-01
1563,1,Sunndal,,,2013-01-01,2014-01-01
1566,1,Surnadal,,,2013-01-01,2014-01-01
1567,1,Rindal,,,2013-01-01,2014-01-01
1571,1,Halsa,,,2013-01-01,2014-01-01
1573,1,Smøla,,,2013-01-01,2014-01-01
1576,1,Aure,,,2013-01-01,2014-01-01
1601,1,Trondheim,,,2013-01-01,2014-01-01
1612,1,Hemne,,,2013-01-01,2014-01-01
1613,1,Snillfjord,,,2013-01-01,2014-01-01
1617,1,Hitra,,,2013-01-01,2014-01-01
1620,1,Frøya,,,2013-01-01,2014-01-01
1621,1,Ørland,,,2013-01-01,2014-01-01
1622,1,Agdenes,,,2013-01-01,2014-01-01
1624,1,Rissa,,,2013-01-01,2014-01-01
1627,1,Bjugn,,,2013-01-01,2014-01-01
1630,1,Åfjord,,,2013-01-01,2014-01-01
1632,1,Roan,,,2013-01-01,2014-01-01
1633,1,Osen,,,2013-01-01,2014-01-01
1634,1,Oppdal,,,2013-01-01,2014-01-01
1635,1,Rennebu,,,2013-01-01,2014-01-01
1636,1,Meldal,,,2013-01-01,2014-01-01
1638,1,Orkdal,,,2013-01-01,2014-01-01
1640,1,Røros,,,2013-01-01,2014-01-01
1644,1,Holtålen,,,2013-01-01,2014-01-01
1648,1,"Midtre Gauldal",,,2013-01-01,2014-01-01
1653,1,Melhus,,,2013-01-01,2014-01-01
1657,1,Skaun,,,2013-01-01,2014-01-01
1662,1,Klæbu,,,2013-01-01,2014-01-01
1663,1,Malvik,,,2013-01-01,2014-01-01
1664,1,Selbu,,,2013-01-01,2014-01-01
1665,1,Tydal,,,2013-01-01,2014-01-01
1702,1,Steinkjer,,,2013-01-01,2014-01-01
1703,1,Namsos,,,2013-01-01,2014-01-01
1711,1,Meråker,,,2013-01-01,2014-01-01
1714,1,Stjørdal,,,2013-01-01,2014-01-01
1717,1,Frosta,,,2013-01-01,2014-01-01
1718,1,Leksvik,,,2013-01-01,2014-01-01
1719,1,Levanger,,,2013-01-01,2014-01-01
1721,1,Verdal,,,2013-01-01,2014-01-01
1724,1,Verran,,,2013-01-01,2014-01-01
1725,1,Namdalseid,,,2013-01-01,2014-01-01
1736,1,"Snåase Snåsa",,,2013-01-01,2014-01-01
1738,1,Lierne,,,2013-01-01,2014-01-01
1739,1,Røyrvik,,,2013-01-01,2014-01-01
1740,1,Namsskogan,,,2013-01-01,2014-01-01
1742,1,Grong,,,2013-01-01,2014-01-01
1743,1,Høylandet,,,2013-01-01,2014-01-01
1744,1,Overhalla,,,2013-01-01,2014-01-01
1748,1,Fosnes,,,2013-01-01,2014-01-01
1749,1,Flatanger,,,2013-01-01,2014-01-01
1750,1,Vikna,,,2013-01-01,2014-01-01
1751,1,Nærøy,,,2013-01-01,2014-01-01
1755,1,Leka,,,2013-01-01,2014-01-01
1756,1,Inderøy,,,2013-01-01,2014-01-01
1804,1,Bodø,,,2013-01-01,2014-01-01
1805,1,Narvik,,,2013-01-01,2014-01-01
1811,1,Bindal,,,2013-01-01,2014-01-01
1812,1,Sømna,,,2013-01-01,2014-01-01
1813,1,Brønnøy,,,2013-01-01,2014-01-01
1815,1,Vega,,,2013-01-01,2014-01-01
1816,1,Vevelstad,,,2013-01-01,2014-01-01
1818,1,Herøy,,,2013-01-01,2014-01-01
1820,1,Alstahaug,,,2013-01-01,2014-01-01
1822,1,Leirfjord,,,2013-01-01,2014-01-01
1824,1,Vefsn,,,2013-01-01,2014-01-01
1825,1,Grane,,,2013-01-01,2014-01-01
1826,1,Hattfjelldal,,,2013-01-01,2014-01-01
1827,1,Dønna,,,2013-01-01,2014-01-01
1828,1,Nesna,,,2013-01-01,2014-01-01
1832,1,Hemnes,,,2013-01-01,2014-01-01
1833,1,Rana,,,2013-01-01,2014-01-01
1834,1,Lurøy,,,2013-01-01,2014-01-01
1835,1,Træna,,,2013-01-01,2014-01-01
1836,1,Rødøy,,,2013-01-01,2014-01-01
1837,1,Meløy,,,2013-01-01,2014-01-01
1838,1,Gildeskål,,,2013-01-01,2014-01-01
1839,1,Beiarn,,,2013-01-01,2014-01-01
1840,1,Saltdal,,,2013-01-01,2014-01-01
1841,1,Fauske,,,2013-01-01,2014-01-01
1845,1,Sørfold,,,2013-01-01,2014-01-01
1848,1,Steigen,,,2013-01-01,2014-01-01
1849,1,"Hábmer Hamarøy",,,2013-01-01,2014-01-01
1850,1,"Divtasvuodna Tysfjord",,,2013-01-01,2014-01-01
1851,1,Lødingen,,,2013-01-01,2014-01-01
1852,1,Tjeldsund,,,2013-01-01,2014-01-01
1853,1,Evenes,,,2013-01-01,2014-01-01
1854,1,Ballangen,,,2013-01-01,2014-01-01
1856,1,Røst,,,2013-01-01,2014-01-01
1857,1,Værøy,,,2013-01-01,2014-01-01
1859,1,Flakstad,,,2013-01-01,2014-01-01
1860,1,Vestvågøy,,,2013-01-01,2014-01-01
1865,1,Vågan,,,2013-01-01,2014-01-01
1866,1,Hadsel,,,2013-01-01,2014-01-01
1867,1,Bø,,,2013-01-01,2014-01-01
1868,1,Øksnes,,,2013-01-01,2014-01-01
1870,1,Sortland,,,2013-01-01,2014-01-01
1871,1,Andøy,,,2013-01-01,2014-01-01
1874,1,Moskenes,,,2013-01-01,2014-01-01
1902,1,Tromsø,,,2013-01-01,2014-01-01
1903,1,Harstad,,,2013-01-01,2014-01-01
1911,1,Kvæfjord,,,2013-01-01,2014-01-01
1913,1,Skånland,,,2013-01-01,2014-01-01
1917,1,Ibestad,,,2013-01-01,2014-01-01
1919,1,Gratangen,,,2013-01-01,2014-01-01
1920,1,Lavangen,,,2013-01-01,2014-01-01
1922,1,Bardu,,,2013-01-01,2014-01-01
1923,1,Salangen,,,2013-01-01,2014-01-01
1924,1,Målselv,,,2013-01-01,2014-01-01
1925,1,Sørreisa,,,2013-01-01,2014-01-01
1926,1,Dyrøy,,,2013-01-01,2014-01-01
1927,1,Tranøy,,,2013-01-01,2014-01-01
1928,1,Torsken,,,2013-01-01,2014-01-01
1929,1,Berg,,,2013-01-01,2014-01-01
1931,1,Lenvik,,,2013-01-01,2014-01-01
1933,1,Balsfjord,,,2013-01-01,2014-01-01
1936,1,Karlsøy,,,2013-01-01,2014-01-01
1938,1,Lyngen,,,2013-01-01,2014-01-01
1939,1,Storfjord,,,2013-01-01,2014-01-01
1940,1,"Gáivuotna Kåfjord",,,2013-01-01,2014-01-01
1941,1,Skjervøy,,,2013-01-01,2014-01-01
1942,1,Nordreisa,,,2013-01-01,2014-01-01
1943,1,Kvænangen,,,2013-01-01,2014-01-01
2002,1,Vardø,,,2013-01-01,2014-01-01
2003,1,Vadsø,,,2013-01-01,2014-01-01
2004,1,Hammerfest,,,2013-01-01,2014-01-01
2011,1,"Guovdageaidnu Kautokeino",,,2013-01-01,2014-01-01
2012,1,Alta,,,2013-01-01,2014-01-01
2014,1,Loppa,,,2013-01-01,2014-01-01
2015,1,Hasvik,,,2013-01-01,2014-01-01
2017,1,Kvalsund,,,2013-01-01,2014-01-01
2018,1,Måsøy,,,2013-01-01,2014-01-01
2019,1,Nordkapp,,,2013-01-01,2014-01-01
2020,1,"Porsanger Porsángu Porsanki",,,2013-01-01,2014-01-01
2021,1,"Kárásjohka Karasjok",,,2013-01-01,2014-01-01
2022,1,Lebesby,,,2013-01-01,2014-01-01
2023,1,Gamvik,,,2013-01-01,2014-01-01
2024,1,Berlevåg,,,2013-01-01,2014-01-01
2025,1,"Deatnu Tana",,,2013-01-01,2014-01-01
2027,1,"Unjárga Nesseby",,,2013-01-01,2014-01-01
2028,1,Båtsfjord,,,2013-01-01,2014-01-01
2030,1,Sør-Varanger,,,2013-01-01,2014-01-01
9999,1,Uoppgitt,,,2013-01-01,2014-01-01
